date,close
12-12-17,85.58
13-12-17,85.35
14-12-17,84.69
15-12-17,86.85
18-12-17,86.38
19-12-17,85.83
20-12-17,85.52
21-12-17,85.5
22-12-17,85.51
26-12-17,85.4
27-12-17,85.71
28-12-17,85.72
29-12-17,85.54
02-01-18,85.95
03-01-18,86.35
04-01-18,87.11
05-01-18,88.19
08-01-18,88.28
09-01-18,88.22
10-01-18,87.82
11-01-18,88.08
12-01-18,89.6
16-01-18,88.35
17-01-18,90.14
18-01-18,90.1
19-01-18,90
22-01-18,91.61
23-01-18,91.9
24-01-18,91.82
25-01-18,92.33
26-01-18,94.06
29-01-18,93.92
30-01-18,92.74
31-01-18,95.01
01-02-18,94.26
02-02-18,91.78
05-02-18,88
06-02-18,91.33
07-02-18,89.61
08-02-18,85.01
09-02-18,88.18
12-02-18,89.13
13-02-18,89.83
14-02-18,90.81
15-02-18,92.66
16-02-18,92
20-02-18,92.72
21-02-18,91.49
22-02-18,91.73
23-02-18,94.06
26-02-18,95.42
27-02-18,94.2
28-02-18,93.77
01-03-18,92.85
02-03-18,93.05
05-03-18,93.64
06-03-18,93.32
07-03-18,93.86
08-03-18,94.43
09-03-18,96.54
12-03-18,96.77
13-03-18,94.41
14-03-18,93.85
15-03-18,94.18
16-03-18,94.6
19-03-18,92.89
20-03-18,93.13
21-03-18,92.48
22-03-18,89.79
23-03-18,87.18
26-03-18,93.78
27-03-18,89.47
28-03-18,89.39
29-03-18,91.27
02-04-18,88.52
03-04-18,89.71
04-04-18,92.33
05-04-18,92.38
06-04-18,90.23
09-04-18,90.77
10-04-18,92.88
11-04-18,91.86
12-04-18,93.58
13-04-18,93.08
16-04-18,94.17
17-04-18,96.07
18-04-18,96.44
19-04-18,96.11
20-04-18,95
23-04-18,95.35
24-04-18,93.12
25-04-18,92.31
26-04-18,94.26
27-04-18,95.82
30-04-18,93.52
01-05-18,95
02-05-18,93.51
03-05-18,94.07
04-05-18,95.16
07-05-18,96.22
08-05-18,95.81
09-05-18,96.94
10-05-18,97.91
11-05-18,97.7
14-05-18,98.03
15-05-18,97.32
16-05-18,97.15
17-05-18,96.18
18-05-18,96.36
21-05-18,97.6
22-05-18,97.5
23-05-18,98.66
24-05-18,98.31
25-05-18,98.36
29-05-18,98.01
30-05-18,98.95
31-05-18,98.84
01-06-18,100.79
04-06-18,101.67
05-06-18,102.19
06-06-18,102.49
07-06-18,100.88
08-06-18,101.63
11-06-18,101.05
12-06-18,101.31
13-06-18,100.85
14-06-18,101.42
15-06-18,100.13
18-06-18,100.86
19-06-18,100.86
20-06-18,101.87
21-06-18,101.14
22-06-18,100.41
25-06-18,98.39
26-06-18,99.08
27-06-18,97.54
28-06-18,98.63
29-06-18,98.61
02-07-18,100.01
03-07-18,99.05
05-07-18,99.76
06-07-18,101.16
09-07-18,101.85
10-07-18,102.12
11-07-18,101.98
12-07-18,104.19
13-07-18,105.43
16-07-18,104.91
17-07-18,105.95
18-07-18,105.12
19-07-18,104.4
20-07-18,106.27
23-07-18,107.97
24-07-18,107.66
25-07-18,110.83
26-07-18,109.62
27-07-18,107.68
30-07-18,105.37
31-07-18,106.08
01-08-18,106.28
02-08-18,107.57
03-08-18,108.04
06-08-18,108.13
07-08-18,108.88
08-08-18,109.49
09-08-18,109.67
10-08-18,109
13-08-18,108.21
14-08-18,109.56
15-08-18,107.66
16-08-18,107.64
17-08-18,107.58
20-08-18,106.87
21-08-18,105.98
22-08-18,107.06
23-08-18,107.56
24-08-18,108.4
27-08-18,109.6
28-08-18,110.26
29-08-18,112.02
30-08-18,111.95
31-08-18,112.33
04-09-18,111.71
05-09-18,108.49
06-09-18,108.74
07-09-18,108.21
10-09-18,109.38
11-09-18,111.24
12-09-18,111.71
13-09-18,112.91
14-09-18,113.37
17-09-18,112.14
18-09-18,113.21
19-09-18,111.7
20-09-18,113.57
21-09-18,114.26
24-09-18,114.67
25-09-18,114.45
26-09-18,113.98
27-09-18,114.41
28-09-18,114.37
01-10-18,115.61
02-10-18,115.15
03-10-18,115.17
04-10-18,112.79
05-10-18,112.13
08-10-18,110.85
09-10-18,112.26
10-10-18,106.16
11-10-18,105.91
12-10-18,109.57
15-10-18,107.6
16-10-18,111
17-10-18,110.71
18-10-18,108.5
19-10-18,108.66
22-10-18,109.63
23-10-18,108.1
24-10-18,102.32
25-10-18,108.3
26-10-18,106.96
29-10-18,103.85
30-10-18,103.73
31-10-18,106.81
01-11-18,105.92
02-11-18,106.16
05-11-18,107.51
06-11-18,107.72
07-11-18,111.96
08-11-18,111.75
09-11-18,109.57
12-11-18,106.87
13-11-18,106.94
14-11-18,104.97
15-11-18,107.28
16-11-18,108.29
19-11-18,104.62
20-11-18,101.71
21-11-18,103.11
23-11-18,103.07
26-11-18,106.47
27-11-18,107.14
28-11-18,111.12
29-11-18,110.19
30-11-18,110.89
03-12-18,112.09
04-12-18,108.52
06-12-18,109.19
07-12-18,104.82
10-12-18,107.59
11-12-18,108.59
12-12-18,109.08
13-12-18,109.45
14-12-18,106.03
17-12-18,102.89
18-12-18,103.97
19-12-18,103.69
20-12-18,101.51
21-12-18,98.23
24-12-18,94.13
26-12-18,100.56
27-12-18,101.18
28-12-18,100.39
31-12-18,101.57
02-01-19,101.12
03-01-19,97.4
04-01-19,101.93
07-01-19,102.06
08-01-19,102.8
09-01-19,104.27
10-01-19,103.6
11-01-19,102.8
14-01-19,102.05
15-01-19,105.01
16-01-19,105.38
17-01-19,106.12
18-01-19,107.71
22-01-19,105.68
23-01-19,106.71
24-01-19,106.2
25-01-19,107.17
28-01-19,105.08
29-01-19,102.94
30-01-19,106.38
31-01-19,104.43
01-02-19,102.78
04-02-19,105.74
05-02-19,107.22
06-02-19,106.03
07-02-19,105.27
08-02-19,105.67
11-02-19,105.25
12-02-19,106.89
13-02-19,106.81
14-02-19,106.9
15-02-19,108.22
19-02-19,108.17
20-02-19,107.15
21-02-19,109.41
22-02-19,110.97
25-02-19,111.59
26-02-19,112.36
27-02-19,112.17
28-02-19,112.03
01-03-19,112.53
04-03-19,112.26
05-03-19,111.7
06-03-19,111.75
07-03-19,110.39
08-03-19,110.51
11-03-19,112.83
12-03-19,113.62
13-03-19,114.5
14-03-19,114.59
15-03-19,115.91
18-03-19,117.57
19-03-19,117.65
20-03-19,117.52
21-03-19,120.22
22-03-19,117.05
25-03-19,117.66
26-03-19,117.91
27-03-19,116.77
28-03-19,116.93
29-03-19,117.94
01-04-19,119.02
02-04-19,119.19
03-04-19,119.97
04-04-19,119.36
05-04-19,119.89
08-04-19,119.93
09-04-19,119.28
10-04-19,120.19
11-04-19,120.33
12-04-19,120.95
15-04-19,121.05
16-04-19,120.77
17-04-19,121.77
18-04-19,123.37
22-04-19,123.76
23-04-19,125.44
24-04-19,125.01
25-04-19,129.15
26-04-19,129.89
29-04-19,129.77
30-04-19,130.6
01-05-19,127.88
02-05-19,126.21
03-05-19,128.9
06-05-19,128.15
07-05-19,125.52
08-05-19,125.51
09-05-19,125.5
10-05-19,127.13
13-05-19,123.35
14-05-19,124.73
15-05-19,126.02
16-05-19,128.93
17-05-19,128.07
20-05-19,126.22
21-05-19,126.9
22-05-19,127.67
23-05-19,126.18
24-05-19,126.24
28-05-19,126.16
29-05-19,124.94
30-05-19,125.73
31-05-19,123.68
03-06-19,119.84
04-06-19,123.16
05-06-19,125.83
06-06-19,127.82
07-06-19,131.4
10-06-19,132.6
11-06-19,132.1
12-06-19,131.49
13-06-19,132.32
14-06-19,132.45
17-06-19,132.85
18-06-19,135.16
19-06-19,135.69
20-06-19,136.95
21-06-19,136.97
24-06-19,137.78
25-06-19,133.43
26-06-19,133.93
27-06-19,134.15
28-06-19,133.96
01-07-19,135.68
02-07-19,136.58
03-07-19,137.46
05-07-19,137.06
08-07-19,136.96
09-07-19,136.46
10-07-19,137.85
11-07-19,138.4
12-07-19,138.9
15-07-19,138.9
16-07-19,137.08
17-07-19,136.27
18-07-19,136.42
19-07-19,136.62
22-07-19,138.43
23-07-19,139.29
24-07-19,140.72
25-07-19,140.19
26-07-19,141.34
29-07-19,141.03
30-07-19,140.35
31-07-19,136.27
01-08-19,138.06
02-08-19,136.9
05-08-19,132.21
06-08-19,134.69
07-08-19,135.28
08-08-19,138.89
09-08-19,137.71
12-08-19,135.79
13-08-19,138.6
14-08-19,133.98
15-08-19,133.68
16-08-19,136.13
19-08-19,138.41
20-08-19,137.26
21-08-19,138.79
22-08-19,137.78
23-08-19,133.39
26-08-19,135.45
27-08-19,135.74
28-08-19,135.56
29-08-19,138.12
30-08-19,137.86
03-09-19,136.04
04-09-19,137.63
05-09-19,140.05
06-09-19,139.1
09-09-19,137.52
10-09-19,136.08
11-09-19,136.12
12-09-19,137.52
13-09-19,137.32
16-09-19,136.33
17-09-19,137.39
18-09-19,138.52
19-09-19,141.07
20-09-19,139.44
23-09-19,139.14
24-09-19,137.38
25-09-19,139.36
26-09-19,139.54
27-09-19,137.73
30-09-19,139.03
01-10-19,137.07
02-10-19,134.65
03-10-19,136.28
04-10-19,138.12
07-10-19,137.12
08-10-19,135.67
09-10-19,138.24
10-10-19,139.1
11-10-19,139.68
14-10-19,139.55
15-10-19,141.57
16-10-19,140.41
17-10-19,139.69
18-10-19,137.41
21-10-19,138.43
22-10-19,136.37
23-10-19,137.24
24-10-19,139.94
25-10-19,140.73
28-10-19,144.19
29-10-19,142.83
30-10-19,144.61
31-10-19,143.37
01-11-19,143.72
04-11-19,144.55
05-11-19,144.46
06-11-19,144.06
07-11-19,144.26
08-11-19,145.96
11-11-19,146.11
12-11-19,147.07
13-11-19,147.31
14-11-19,148.06
15-11-19,149.97
18-11-19,150.34
19-11-19,150.39
20-11-19,149.62
21-11-19,149.48
22-11-19,149.59
25-11-19,151.23
26-11-19,152.03
27-11-19,152.32
29-11-19,151.38
02-12-19,149.55
03-12-19,149.31
04-12-19,149.85
05-12-19,149.93
06-12-19,151.75
09-12-19,151.36
10-12-19,151.13
11-12-19,151.7
12-12-19,153.24
13-12-19,154.53
16-12-19,155.53
17-12-19,154.69
18-12-19,154.37
19-12-19,155.71
20-12-19,157.41
23-12-19,157.41
24-12-19,157.38
26-12-19,158.67
27-12-19,158.96
30-12-19,157.59
31-12-19,157.7
02-01-20,160.62
03-01-20,158.62
06-01-20,159.03
07-01-20,157.58
08-01-20,160.09
09-01-20,162.09
10-01-20,161.34
13-01-20,163.28
14-01-20,162.13
15-01-20,163.18
16-01-20,166.17
17-01-20,167.1
21-01-20,166.5
22-01-20,165.7
23-01-20,166.72
24-01-20,165.04
27-01-20,162.28
28-01-20,165.46
29-01-20,168.04
30-01-20,172.78
31-01-20,170.23
03-02-20,174.38
04-02-20,180.12
05-02-20,179.9
06-02-20,183.63
07-02-20,183.89
10-02-20,188.7
11-02-20,184.44
12-02-20,184.71
13-02-20,183.71
14-02-20,185.35
18-02-20,187.23
19-02-20,187.28
20-02-20,184.42
21-02-20,178.59
24-02-20,170.89
25-02-20,168.07
26-02-20,170.17
27-02-20,158.18
28-02-20,162.01
